run,ped,sig,nPE,onePEsig,mu,detector,position,Ver,,,,,,,,,,,,,,,,
132,877.43,122.31,171.42,0.166791,1.657041,1b,0,,,0,,,,,,,,,,,,,,
133,877.2,222.83,166.99,0.129243,1.328061,1b,0,,,0,,,,,,,,,,,,,,
134,877.01,224.81,168.47,0.128107,1.505138,1b,0,,,0,,,,,,,,,,,,,,
135,877.76,222.81,166.97,0.118485,1.383758,1b,0,,,0,,,,,,,,,,,,,,
136,876.86,133.53,187.15,0.195343,1.609377,1b,-5,,,-5,,,,,,,,,,,,,,
137,878.02,152.47,213.7,0.183166,1.505361,1b,-10,,,-10,,,,,,,,,,,,,,
138,876,152.12,213.2,0.20784,1.513814,1b,-10,,,-10,,,,,,,,,,,,,,
139,877.64,293.07,163.48,0.197942,1.854242,1b,0,,,,,,0,5,5,10,11,12,-11,-11.5,-12.5,-11.5,-11,1.5
140,876.7,397.25,inf,0.213997,1.392261,1b,0,,,,,,163.48,177.25,171.73,215.85,229.38,217.85,192.99,193.04,173.83,200.42,200.04,175.64
141,876.86,126.47,177.25,0.154421,1.687762,1b,5,,,,,,,,,,,,,,,,,
142,877.37,122.53,171.73,0.184276,1.544102,1b,5,,,,,,,,,,,,,,,,,
143,876,154.01,215.85,0.191344,1.622593,1b,10,,,,,,,,,,,,,,,,,
144,877.12,163.66,229.38,0.175524,1.668719,1b,11,,,,,,,,,,,,,,,,,
145,877.02,155.44,217.85,0.204673,1.568773,1b,12,,,,,,,,,,,,,,,,,
146,877.33,137.7,192.99,0.208882,0.675312,1b,-11,,,,,,,,,,,,,,,,,
147,877.53,137.73,193.04,0.10847,0.02717,1b,-11.5,,,,,,,,,,,,,,,,,
148,876,124.03,173.83,0.120457,0.787156,1b,-12.5,,,,,,,,,,,,,,,,,
149,877,143,200.42,0.174825,1,1b,-11.5,,,,,,,,,,,,,,,,,
150,877.71,142.73,200.04,0.200382,1.159106,1b,-11,,,,,,,,,,,,,,,,,
151,877.4,125.32,175.64,0.202528,1.66464,1b,1.5,,,,,,,,,,,,,,,,,
,,,,,,,hor,,,,,,,,,,,,,,,,,
152,876.72,114.08,159.88,0.122666,1.386533,1b,0,,,,,,,,,,,,,,,,,
