0,0,0,0,-5,-10,-10,0,0,5,5,10,11,12,-11,-11.5,-12.5,-11.5,-11,1.5
171.42,166.99,168.47,166.97,187.15,213.7,213.2,163.48,inf,177.25,171.73,215.85,229.38,217.85,192.99,193.04,173.83,200.42,200.04,175.64
132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
196.42,242.57,243.21,246,226.95,217.24,217.24,200.19,,,,,,,,,,,,
0,-11,-11,-11,-13,-14.5,-14,-1.5,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,
0,6.5,6,6,1,,,,,,,,,,,,,,,
200.19,166.63,142.9,142.96,191.38,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,
0,-8.5,-7.5,-6.5,,,,,,,,,,,,,,,,
159.88,184.28,186.77,161.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,
0,4,-4.5,,,,,,,,,,,,,,,,,
193.42,170.05,212.76,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,
0,3,3,5,,,,,,,,,,,,,,,,
196.59,208.12,207.9,231.58,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0,5,5,10,11,12,-11,-11.5,-12.5,-11.5,-11,1.5,,,,,,,,
163.48,177.25,171.73,215.85,229.38,217.85,192.99,193.04,173.83,200.42,200.04,175.64,,,,,,,,
